"date","transaction_id","product_id","product_name","customer_id","cost","currency","quantity"
"2021-01-18","T46898562","P4694","ekzizxaiy","C40778","75.45","GBP","8"
"2021-01-21","T61343234","P6609","evagebna","C45826","84.82","GBP","8"
"2021-01-21","T74539084","P5656","wogidejmol","C94871","98.25","GBP","4"
"2021-01-20","T41233776","P6548","girijniwpuk","C12016","85.35","GBP","4"
"2021-01-19","T41868495","P0306","emvosajiz","C07930","68.56","GBP","3"
"2021-01-22","T81235960","P2265","komabugpi","C63538","50.77","GBP","4"
"2021-01-20","T26061648","P0526","uzexlezoy","C13105","88.11","GBP","0"
"2021-01-22","T96486846","P2718","wexkurojo","C82371","16.17","GBP","2"
"2021-01-22","T95736496","P2135","gitezipbod","C18403","96.91","GBP","4"
"2021-01-18","T02501888","P8221","zilemcozot","C59892","35.51","GBP","5"
"2021-01-18","T91320955","P2476","eruyetom","C12870","41.72","GBP","6"
"2021-01-21","T47517779","P9333","zatacaxop","C60364","08.57","GBP","7"
"2021-01-21","T22430339","P3626","ozvedqeci","C67983","27.87","GBP","4"
"2021-01-23","T61851165","P6607","dukvekliex","C91012","48.39","GBP","4"
"2021-01-22","T92992825","P6005","wozxupubmi","C19722","09.60","GBP","5"
"2021-01-19","T85911614","P4813","qurebiip","C17061","38.66","GBP","5"
"2021-01-22","T26243859","P2339","ajgoyacum","C03134","07.46","GBP","6"
"2021-01-20","T51344162","P0356","kovihbuyyag","C77882","41.74","GBP","9"
"2021-01-19","T77836318","P8947","uzsohazsaq","C07090","55.91","GBP","6"
"2021-01-21","T69407952","P0778","sugfawipiv","C89471","88.53","GBP","5"
"2021-01-18","T92155274","P0067","doyganzugaz","C34637","28.59","GBP","1"
"2021-01-18","T26142799","P5488","relqodopmus","C05464","35.39","GBP","8"
"2021-01-23","T86132896","P6479","axobamvu","C50570","46.38","GBP","0"
"2021-01-19","T78529243","P3592","mejanezbax","C19211","90.69","GBP","9"
"2021-01-23","T95727323","P7728","oswujyeno","C68316","03.47","GBP","5"
"2021-01-20","T77625749","P4109","javeqpoip","C48017","98.20","GBP","8"
"2021-01-21","T56183931","P2504","kabbafinal","C65375","27.54","GBP","5"
"2021-01-19","T81645723","P8790","kotesguwor","C64649","70.42","GBP","8"
"2021-01-19","T42195444","P0491","latadeom","C22629","85.98","GBP","2"
"2021-01-22","T52903396","P4048","vukqaxeno","C67711","67.67","GBP","2"
"2021-01-18","T00637106","P6566","ozsefkogum","C12659","77.65","GBP","9"
"2021-01-19","T40830650","P6324","oyyuqmiiw","C39957","60.28","GBP","1"
"2021-01-22","T50224929","P3289","zigwiurox","C78293","26.50","GBP","1"
"2021-01-19","T20403323","P6543","mixakbiqti","C33525","57.53","GBP","7"
"2021-01-22","T76424254","P9437","huqozotoc","C24450","22.61","GBP","8"
"2021-01-22","T37247644","P9621","keztewizqiy","C66493","27.68","GBP","1"
"2021-01-18","T03737151","P6694","uzakicex","C68783","16.29","GBP","9"
"2021-01-23","T12273642","P4009","wagibcilsay","C94123","54.95","GBP","7"
"2021-01-21","T27364078","P6278","femyexfumziy","C87470","37.09","GBP","4"
"2021-01-23","T48579501","P8456","fekehihah","C36960","93.32","GBP","6"
"2021-01-20","T62212579","P3063","ukjomuwoc","C79033","34.85","GBP","6"
"2021-01-21","T93454250","P5848","daybeodvug","C11947","39.77","GBP","4"
"2021-01-22","T32899450","P6883","ensepwuxkeq","C35151","68.42","GBP","6"
"2021-01-20","T63831238","P4555","luheazur","C19080","09.15","GBP","7"
"2021-01-18","T41524888","P0678","dahekewuw","C28036","46.90","GBP","8"
"2021-01-21","T31198256","P5785","bopfucemot","C97151","02.50","GBP","4"
"2021-01-22","T42873285","P0367","bobuonwe","C44528","03.00","GBP","6"
"2021-01-21","T70289151","P8966","arifusor","C86956","00.13","GBP","8"
"2021-01-23","T16773599","P9800","yesecufci","C95540","03.28","GBP","8"
"2021-01-20","T90223438","P0511","imcefeaj","C73763","88.46","GBP","3"
"2021-01-19","T98010584","P4202","deoxsohfag","C15123","24.70","GBP","1"
"2021-01-19","T39435668","P7229","naxgemsarav","C86885","96.36","GBP","9"
"2021-01-18","T87634254","P8374","ogqekkitac","C55792","28.74","GBP","3"
"2021-01-20","T42534183","P8389","uciljugeh","C53182","54.78","GBP","9"
"2021-01-22","T61553241","P5090","haohkerez","C04516","13.44","GBP","8"
"2021-01-18","T36195464","P9469","julewpuaw","C31428","25.85","GBP","1"
"2021-01-20","T59100487","P0492","konbaqefdow","C02912","40.94","GBP","9"
"2021-01-21","T39135348","P9762","bihuctanbu","C97050","55.28","GBP","8"
"2021-01-23","T24586704","P1264","ivabodrib","C54709","56.91","GBP","7"
"2021-01-19","T75255397","P2104","foztidiyip","C07336","60.85","GBP","0"
"2021-01-19","T23789810","P2145","owqixahre","C01886","40.54","GBP","6"
"2021-01-20","T91103096","P5514","ubehsemoh","C22167","24.00","GBP","1"
"2021-01-22","T64499821","P4844","fedhanityef","C72983","47.38","GBP","9"
"2021-01-23","T85618953","P0300","wejyasarxo","C76017","05.80","GBP","7"
"2021-01-18","T81565580","P0078","iwvoyutac","C98816","39.18","GBP","1"
"2021-01-20","T00062286","P7176","jencavyefux","C96980","09.13","GBP","8"
"2021-01-20","T51445413","P5753","zifxursanyu","C61864","17.52","GBP","4"
"2021-01-23","T92147131","P9225","beojyurnof","C34774","39.44","GBP","0"
"2021-01-23","T53714530","P5781","bobugove","C14586","00.45","GBP","4"
"2021-01-22","T42387669","P0378","niefbosec","C42576","80.60","GBP","6"
"2021-01-22","T02011282","P1790","ilispecsiw","C48775","50.66","GBP","6"
"2021-01-23","T75504112","P6358","caqiqkiwtos","C84673","52.16","GBP","7"
"2021-01-20","T53217956","P0294","wiqevefloy","C00218","81.61","GBP","0"
"2021-01-19","T37311792","P2608","olidcuox","C27725","34.74","GBP","0"
"2021-01-18","T08639189","P7687","lanokalmuq","C80533","59.88","GBP","0"
"2021-01-23","T76826867","P8571","fecopapxe","C81986","35.62","GBP","8"
"2021-01-21","T34640918","P3334","aqqeqafol","C04471","06.88","GBP","2"
"2021-01-23","T95993073","P6570","oypeizlaq","C58415","66.03","GBP","0"
"2021-01-20","T51062906","P6440","tiwereen","C01066","72.89","GBP","6"
"2021-01-22","T40760221","P9289","rupitesu","C86307","83.98","GBP","0"
"2021-01-21","T01542255","P5305","bakagletom","C48471","31.61","GBP","2"
"2021-01-19","T58462370","P2251","xutxaquel","C29130","69.30","GBP","6"
"2021-01-18","T92856317","P3200","axocapza","C90435","74.91","GBP","2"
"2021-01-20","T22751138","P1376","zuvualqud","C67678","63.69","GBP","3"
"2021-01-21","T78533697","P6985","xeokuyqum","C15425","39.57","GBP","1"
"2021-01-23","T81463233","P3219","sickausxe","C66853","30.48","GBP","5"
"2021-01-22","T61288361","P3074","moujxuuy","C86552","47.94","GBP","4"
"2021-01-23","T25035177","P2610","rutigpomta","C39627","92.62","GBP","1"
"2021-01-21","T78134246","P1237","tidtouxgiy","C96217","96.36","GBP","8"
"2021-01-23","T29667969","P6637","laqpotahsi","C57390","79.35","GBP","1"
"2021-01-20","T88475338","P6968","naimifji","C47515","33.35","GBP","2"
"2021-01-20","T52041974","P4688","zitranwejmed","C40084","97.54","GBP","3"
"2021-01-18","T68295551","P7561","saxqomulja","C89779","37.49","GBP","8"
"2021-01-22","T02408330","P0394","lohehsaej","C23686","29.62","GBP","1"
"2021-01-22","T93021118","P9374","hudqieyhu","C69786","86.09","GBP","0"
"2021-01-22","T02938548","P1729","zewieppi","C35680","43.89","GBP","0"
"2021-01-19","T87244130","P0286","huevfoop","C85253","17.53","GBP","3"
"2021-01-18","T99136401","P1107","pohnuofyi","C95910","94.30","GBP","0"
"2021-01-22","T45074211","P9652","viunkezun","C81929","52.35","GBP","2"
"2021-01-19","T73594230","P0358","gaeysucuk","C28897","20.75","GBP","2"
"2021-01-20","T38651515","P5010","xisuqbofi","C43067","36.35","GBP","8"
"2021-01-23","T49263513","P5928","agsosizmuv","C36432","16.60","GBP","7"
"2021-01-22","T66998252","P3186","aluclovad","C56123","30.29","GBP","8"
"2021-01-20","T12797247","P7895","puwjuncepre","C07976","54.52","GBP","7"
"2021-01-19","T79491606","P9130","ijamsizu","C65352","91.07","GBP","1"
"2021-01-22","T60302659","P5799","asyaiwak","C80335","46.98","GBP","7"
"2021-01-22","T24846890","P8623","igqezowbay","C63484","33.44","GBP","2"
"2021-01-23","T46867586","P2534","keubgukyuh","C38673","63.81","GBP","5"
"2021-01-19","T97792853","P1750","hoqutoup","C30312","65.15","GBP","0"
"2021-01-18","T77003261","P6868","ruhohfami","C52478","15.59","GBP","0"
"2021-01-21","T98807187","P3348","ulutlumyab","C42173","91.49","GBP","6"
"2021-01-23","T21532870","P9713","korlecdevxay","C18213","39.35","GBP","3"
"2021-01-20","T90890799","P6483","jekvuvyommiz","C27030","36.72","GBP","5"
"2021-01-23","T51142506","P6842","ujcinupid","C57454","27.97","GBP","9"
"2021-01-23","T76710189","P3790","qeippamror","C94468","54.30","GBP","7"
"2021-01-21","T77133403","P4975","bakibiwlo","C81923","22.43","GBP","9"
"2021-01-19","T17650497","P3905","littonuzce","C78116","67.56","GBP","7"
"2021-01-20","T41508474","P0505","ihnuepxa","C44386","91.32","GBP","2"
"2021-01-22","T27080293","P0947","bipuwoih","C35568","34.55","GBP","3"
"2021-01-23","T57813162","P5005","ogzemuvle","C14960","84.06","GBP","1"
"2021-01-20","T26014654","P4197","yuqoskuep","C01473","47.23","GBP","2"
"2021-01-18","T83097172","P4084","qaokseyo","C47604","06.57","GBP","1"
"2021-01-20","T14511887","P3034","ciyokonqes","C54025","28.03","GBP","6"
"2021-01-21","T22889510","P3956","aywitlefi","C96801","72.01","GBP","9"
"2021-01-23","T59468077","P2694","weykelunez","C94745","45.77","GBP","7"
"2021-01-19","T42245696","P6873","caboclida","C80885","20.25","GBP","4"
"2021-01-18","T92250758","P4091","dunokbovi","C44475","23.35","GBP","7"
"2021-01-23","T77962135","P3412","ukugukup","C62519","47.41","GBP","7"
"2021-01-21","T11026452","P1847","ifexotxa","C82634","02.02","GBP","1"
"2021-01-20","T81825057","P6025","qaknuxdeof","C82904","96.49","GBP","8"
"2021-01-19","T80489017","P0709","kecalovup","C62494","23.02","GBP","4"
"2021-01-19","T57887602","P7414","mubozfafe","C23591","15.08","GBP","9"
"2021-01-23","T68139957","P7715","aswuleip","C64783","41.56","GBP","5"
"2021-01-21","T59804700","P1931","najiyzecip","C15727","00.90","GBP","4"
"2021-01-21","T42858037","P9593","meumfeuw","C68688","63.22","GBP","4"
"2021-01-19","T64606526","P8334","fompuqoyre","C49022","11.81","GBP","0"
"2021-01-23","T14467213","P5622","coniezze","C04576","84.44","GBP","3"
"2021-01-19","T01265872","P1960","fuofayfav","C64932","78.48","GBP","3"
"2021-01-22","T31376043","P1929","fulofneli","C52749","27.08","GBP","5"
"2021-01-21","T48056571","P1742","axivpushoy","C20258","00.92","GBP","1"
"2021-01-21","T32106031","P2093","husonvuma","C90466","85.00","GBP","2"
"2021-01-20","T87356852","P0262","iyjuvneil","C91685","91.73","GBP","5"
"2021-01-18","T84060432","P3977","upteduyri","C95721","34.41","GBP","1"
"2021-01-18","T99877849","P0332","oyrodiwyu","C84763","16.80","GBP","8"
"2021-01-21","T69027519","P0000","feheotmak","C58199","79.53","GBP","3"
"2021-01-21","T61434062","P2258","antoyjelaf","C11540","21.51","GBP","4"
"2021-01-23","T78006288","P2512","mozovarey","C74818","00.20","GBP","8"
"2021-01-21","T00205412","P2843","kiacsefaz","C41002","00.99","GBP","0"
"2021-01-18","T37973178","P8259","rordiwifxuk","C12941","04.88","GBP","8"
"2021-01-18","T34075320","P3887","gofyujuxaw","C68854","06.25","GBP","6"
"2021-01-23","T50937571","P6806","bicuqvubpa","C92292","91.32","GBP","4"
"2021-01-19","T95389282","P0314","orlexyesol","C51250","30.24","GBP","7"
"2021-01-20","T00380284","P3853","huadolmef","C04199","23.31","GBP","9"
"2021-01-19","T62138765","P8838","tehmetuax","C10593","23.66","GBP","3"
"2021-01-19","T60383727","P6124","nerfansifi","C10955","14.80","GBP","7"
"2021-01-19","T78296251","P9756","vajqokamo","C80113","70.06","GBP","0"
"2021-01-20","T14443868","P5087","rulogixdom","C00567","55.40","GBP","8"
"2021-01-21","T68748375","P8919","etmaimto","C36240","06.57","GBP","5"
"2021-01-22","T16762328","P8573","iryezjopde","C11832","65.23","GBP","3"
"2021-01-19","T88120540","P2243","usxejtumuw","C48012","41.29","GBP","2"
"2021-01-21","T20274937","P5467","nevpatoza","C28900","04.73","GBP","3"
"2021-01-20","T67001970","P9860","wicuyduxnom","C20161","38.04","GBP","8"
"2021-01-18","T85241190","P5467","pihevtusoc","C91771","63.60","GBP","6"
"2021-01-23","T84171100","P4329","zohkifaas","C44045","53.37","GBP","3"
"2021-01-20","T15722817","P9659","otudcaldir","C40740","08.65","GBP","2"
"2021-01-20","T14650206","P0935","lupazabam","C96259","68.76","GBP","5"
"2021-01-23","T39197076","P4961","kaahjafe","C44402","75.29","GBP","5"
"2021-01-19","T41086760","P9112","elraeqgum","C72400","81.12","GBP","3"
"2021-01-18","T04010128","P0182","mossovigul","C03972","09.15","GBP","3"
"2021-01-19","T06623099","P9514","usalgeqi","C84214","97.97","GBP","4"
"2021-01-18","T30029810","P4743","edepokex","C25214","50.35","GBP","8"
"2021-01-23","T64013354","P0778","sugazrerso","C60130","99.14","GBP","5"
"2021-01-22","T22034464","P4441","pijidnefcu","C11274","13.53","GBP","6"
"2021-01-20","T44785670","P8773","qohcaseybi","C22673","20.96","GBP","0"
"2021-01-19","T58008515","P9090","ubfaoman","C91807","55.17","GBP","2"
"2021-01-21","T59843345","P9285","gedquurij","C76152","43.91","GBP","0"
"2021-01-18","T74907590","P1216","cijnogophe","C92160","38.76","GBP","1"
"2021-01-21","T45250763","P2906","izitmuuf","C10888","67.40","GBP","6"
"2021-01-21","T18541534","P9687","hotgadpize","C42363","61.17","GBP","1"
"2021-01-20","T63225344","P3706","ewlaufyec","C75128","90.91","GBP","8"
"2021-01-23","T90874511","P5776","daztepayhur","C75650","78.00","GBP","6"
"2021-01-19","T74925366","P8886","rutsucwuznaj","C59894","51.34","GBP","9"
